Item Type;Text
paragraph; 
paragraph;This example extends the previous one by the use of multiple data tables, recursive macro processing, the use of multi line macros and the use of additional parameters from the command file to generate a C++ and a Visual Basic .NET data class. 
paragraph;The list of parameters from the previous example is extended by minimum and maximum values to generate a method for clipping the class data members. 
include;temp\examples\getting_started_simple_extended\simple_extended.table.gen.html
paragraph;Two additional tables are added to map the listed general types to the corresponding types of the generated language. 
include;temp\examples\getting_started_simple_extended\simple_extended.map_cpp.table.gen.html
include;temp\examples\getting_started_simple_extended\simple_extended.map_vbnet.table.gen.html
paragraph;The template from the previous example is extended by using a parameter passed from the command file that is used for the class name, the mapping of the general type to the corresponding C++ type, and a clipping method using multi line macros. 
paragraph; 
paragraph;For customizing a template it is possible to pass additional parameters from the command files. The parameters are collected in another table so that they can be accessed like loaded tables using the ENTRY tags. This allows using the shown template to generate several different classes. 
paragraph; 
paragraph;The declaration section shows a tag with a dot as infix. This dot denotes a delayed processing of the tag.  When the macro is processed the first time the marked ENTRY tag is treated as normal text. The macro is expanded and afterwards the dot is removed activating the tag. This will cause the generated line to be detected as macro and it will be processed. Since the general type has been entered by the previous generation step as column heading the C++ type can be looked up in a second step. It is possible to add as many delay dots as needed to a tag. In every processing step one dot is removed allowing cascading of multiple macros. 
paragraph; 
paragraph;The clip method shows the use of multi line macros. There are two different ways of using the MACRO_BEGIN and MACRO_END tags. The if-statement for checking the maximum shows one possibility. All enclosed text and new line characters are reproduced each time the macro is expanded. But using this style makes it hard to keep track of the indentation. The second possibility uses the build in preprocessor to achieve the same result making it easier to produce the correct indentation. The preprocessor trims all surrounding white space including the new line character from a line if it finds a trailing TRIM tag. 
paragraph; 
include;temp\examples\getting_started_simple_extended\CDataClass.tpl.h.rtf
paragraph; 
paragraph;This is the generated C++ data class. 
include;temp\examples\getting_started_simple_extended\CMyData.gen.h.rtf
paragraph; 
paragraph;This is the template for the Visual Basic .NET data class. 
include;temp\examples\getting_started_simple_extended\CDataClass.tpl.vb.rtf
paragraph; 
paragraph;This is the generated Visual Basic .NET data class. 
include;temp\examples\getting_started_simple_extended\MyData.gen.vb.rtf
paragraph; 
paragraph;The command file shows the usage of the option for specifying the reading direction of a table to top down. This is used to avoid reading the tables from left to right because only one ENTRY tag is used to map the types and can be found as row heading in multiple places making it impossible for the text compiler to automatically find the correct table to read. 
paragraph; 
paragraph;The template processing command is written using short option names in this command file. The parameter option p is used to pass the class names. It is possible to pass multiple strings using the first equal sign as delimiter to separate column header from table entry. Multiple table entries are entered in a column if parameters with the same column name are provided. This is done in the order they are listed in the command. 
paragraph; 
paragraph;After the C++ data class is generated the C++ mapping table is unloaded and the Visual Basic mapping table is loaded to generate the Visual Basic class.  
paragraph; 
include;temp\examples\getting_started_simple_extended\simple_extended.tccmd.rtf
paragraph; 
heading 3;An Advanced Example – Generating a State Machine with Graph 
paragraph; 
paragraph;This example shows how to describe a state machine using a matrix. The matrix is used to generate a C++ state machine class. The state machine class is designed to derive another class from it that reacts to the state changes. 
paragraph;"The <a href=""http://www.doxygen.org"">doxygen</a> documentation tool is used together with the <a href=""http://www.graphviz.org"">graphviz dot</a> graph visualization software to create the documentation for the state machine including a graph of the states. The dot graph description that is generated causes doxygen to produce a graph of the states and transitions when it is run. The example folder contains a template to generate code for a console application used for testing the state machine. "
include;temp\examples\documented_state_machine\advanced.table.gen.html
paragraph;This is the produced graph showing the states and transitions. 
image;state_graph.png
paragraph; 
paragraph;This is the template for creating a C++ state machine. The macros are commented in the code using the COMMENT tag.  
include;temp\examples\documented_state_machine\DocumentedStatemachine.tpl.h.rtf
paragraph;This is the generated C++ state machine code. It contains only a few states to not get to large for an example, but it can be extended to any size by extending the matrix. The example folder contains another matrix having more states.  
include;temp\examples\documented_state_machine\cd_player\CDPlayerStatemachine.gen.h.rtf
heading 3;In-Place Code Generation Using Inline Templates 
paragraph;Inline templates are placed into a code file for in-place code generation. This works line based using the comment syntax of the source language. The lines of an inline template are marked with a prefix and an optional postfix as template lines. The following C++ example uses the prefix //<> for this purpose.  The inline template lines are ignored by the C++ compiler because they form C++ line comments. Prefix and postfix are removed by the text compiler before processing. Generated code lines are marked with an is-generated-postfix. This allows removing old generated code lines when running the code generation again. The following C++ example uses //$ as is-generated-postfix. Only lines marked as inline template are processed by the text compiler. All other lines are directly passed to the output file. 
paragraph;WARNING: Use this feature carefully to prevent data loss. Any line ending with the is-generated-postfix is removed by the text compiler. Backup your code before using in-place code generation. 
include;temp\examples\documented_state_machine\cd_player_inline\CDPlayerStatemachine.h.rtf
paragraph;This is the used command file: 
include;temp\examples\documented_state_machine\cd_player_inline\advanced.tccmd.rtf
